session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,lapse,best_loss,Mouse_ID,Gene,Sex
258,171,0.662790698,0.697674419,-0.023255814,0.542018712,3.066520691,-0.242044806,0.828467071,0.336420119,0.517828535,DNMT3A_002_22_11,DNMT3A,F
282,198,0.70212766,0.74822695,-0.028368794,0.459791094,2.926309347,-0.196820498,0.323135585,0.232438087,0.475707359,WAC_006_200_87,WAC,M
270,229,0.848148148,0.866666667,0.022222222,0.791702151,2.698256969,0.291712612,0.582631648,0.086455964,0.31220624,NF1_003_145_34,NF1,M
258,150,0.581395349,0.608527132,0.069767442,0.824997962,2.609932184,0.281659693,0.74107641,0.547357023,0.62408672,CNTNAP2_008_352_55,CNTNAP2,F
323,217,0.671826625,0.749226006,-0.102167183,0.447804928,2.431423664,-0.287559181,0.156016767,0,0.399047568,ChowHFD_184,C57B6/J,M
312,167,0.53525641,0.580128205,0.032051282,0.286083579,2.408014059,0.171166494,0.876857877,0.353616446,0.545702323,WAC_006_264_30,WAC,M
265,203,0.766037736,0.830188679,0.094339623,0.982822597,2.326970339,0.20128119,0.839213073,0.201823354,0.425464098,CNTNAP2_008_247_51,CNTNAP2,M
215,144,0.669767442,0.753488372,0.03255814,0.680099785,2.261138439,-0.118671283,0.548505187,0.268253863,0.513894937,ChowHFD_190,C57B6/J,M
258,153,0.593023256,0.709302326,0.046511628,0.439628482,2.20442605,-0.125675902,0.826650918,0.255223721,0.493962488,ChowHFD_182,C57B6/J,M
289,177,0.612456747,0.626297578,0.031141869,0.283085048,2.182430029,0.16906105,1,0.318093836,0.525870986,NF1_003_146_50,NF1,M
254,157,0.618110236,0.68503937,0.007874016,0.867927551,2.172353745,0.221954584,0.507797718,0.372975975,0.568692966,CDKL5_005_183_75,CDKL5,F
280,195,0.696428571,0.771428571,-0.15,0.917371809,2.086931705,-0.459489077,0.70741117,0.141634196,0.400180926,ChowHFD_670,C57B6/J,M
381,193,0.50656168,0.603674541,-0.007874016,1,2.042088985,-0.210717395,1,0.484045595,0.60755604,MYT1L_001_1_1,MYT1L,F
243,122,0.502057613,0.58436214,0.053497942,0.262708873,1.934871674,0.363038599,0.629010856,0.340266019,0.58717679,SHANK3B_004_73_16,SHANK3B,F
