filename,PeakAccuracy,TotalAccuracy,Total_pellets,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Lose-shift,Lose-stay,daily pellets,PeakAccuracy_Day,PeakAccuracy_Night,Win-stay_Day,Win-stay_Night,Lose-shift_Day,Lose-shift_Night,Session_type,Mouse_ID,Sex
CDKL5_005_178_78_Bandit100_20251006.csv,7500.0,55.379746835443036,174,315,1.8103448275862069,1.34,0.1,81.75182481751825,36.58536585365854,63.41463414634146,175.43656088646517,9500.0,6200.0,90.47619047619048,77.89473684210526,55.55555555555556,31.25,Bandit100,CDKL5_005_178_78,F
CDKL5_005_179_14_Bandit100_20251006.csv,6875.0,68.16326530612244,167,250,1.4970059880239521,0.73,0.09,90.5511811023622,60.0,40.0,173.77396666345507,8500.0,6200.0,90.9090909090909,90.42553191489363,50.0,66.66666666666666,Bandit100,CDKL5_005_179_14,F
CDKL5_005_179_17_Bandit100_20251006.csv,8000.0,70.64220183486239,153,218,1.4248366013071896,0.66,0.12,89.68253968253968,47.05882352941176,52.94117647058824,164.52869384575436,8000.0,8000.0,89.13043478260869,90.0,50.0,45.45454545454545,Bandit100,CDKL5_005_179_17,M
CDKL5_005_179_20_Bandit100_20251006.csv,8714.285714285716,76.5625,146,192,1.3150684931506849,0.42,0.15,95.76271186440678,54.54545454545454,45.45454545454545,148.4518730641108,8666.666666666666,8750.0,94.73684210526315,96.25,50.0,57.14285714285714,Bandit100,CDKL5_005_179_20,F
CDKL5_005_180_66_Bandit100_20251006.csv,7714.285714285714,62.903225806451616,155,248,1.6,1.22,0.11,75.22123893805309,84.21052631578947,15.789473684210526,155.49853117053516,6333.333333333333,8000.0,72.22222222222221,76.62337662337663,75.0,86.66666666666667,Bandit100,CDKL5_005_180_66,F
CDKL5_005_180_67_Bandit100_20251006.csv,8500.0,70.42801556420234,181,256,1.4143646408839778,0.67,0.13,88.88888888888889,62.5,37.5,185.30666413878092,8500.0,8600.000000000002,89.58333333333334,88.46153846153845,75.0,58.333333333333336,Bandit100,CDKL5_005_180_67,M
CDKL5_005_180_69_Bandit100_20251006.csv,8125.0,69.46564885496184,182,261,1.434065934065934,0.88,0.17,84.25196850393701,43.75,56.25,182.05689277899342,7500.0,8200.0,91.11111111111111,80.48780487804879,33.33333333333333,46.15384615384615,Bandit100,CDKL5_005_180_69,M
CDKL5_005_182_57_Bandit100_20251006.csv,8444.444444444443,71.84115523465704,198,276,1.393939393939394,0.55,0.19,90.9090909090909,50.0,50.0,201.71048463731393,8000.0,8333.333333333332,90.19607843137256,91.22807017543859,40.0,53.84615384615385,Bandit100,CDKL5_005_182_57,M
CDKL5_005_182_64_Bandit100_20251006.csv,6500.0,61.702127659574465,174,281,1.6149425287356323,1.04,0.12,75.60975609756098,58.620689655172406,41.37931034482759,174.09268823679275,4500.0,7800.0,68.29268292682927,79.26829268292683,50.0,69.23076923076923,Bandit100,CDKL5_005_182_64,F
CDKL5_005_182_65_Bandit100_20251006.csv,7111.11111111111,66.78832116788321,182,273,1.5,0.79,0.16,87.59689922480621,47.82608695652174,52.17391304347826,193.56781704883514,7000.0,6200.0,94.11764705882352,85.26315789473684,50.0,47.368421052631575,Bandit100,CDKL5_005_182_65,F
