filename,PeakAccuracy,Total_pellets,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Lose-shift,daily pellets,PeakAccuracy_Day,PeakAccuracy_Night,Win-stay_Day,Win-stay_Night,Lose-shift_Day,Lose-shift_Night,Session_type,Mouse_ID,Sex
CDKL5_005_178_78_FR1_20251009.csv,74.07407407407408,139,221,1.589928057553957,1.99,0.08,0.9154929577464789,0.5526315789473685,187.01876990630507,100.0,72.1590909090909,1.0,0.9047619047619048,,0.5526315789473685,FR1,CDKL5_005_178_78,F
CDKL5_005_179_14_FR1_20251009.csv,76.55172413793103,110,155,1.4090909090909092,1.1,0.08,0.9583333333333334,0.4482758620689655,148.02969731581953,82.35294117647058,75.78125,0.8571428571428571,0.975609756097561,0.6666666666666666,0.4230769230769231,FR1,CDKL5_005_179_14,F
CDKL5_005_179_17_FR1_20251009.csv,86.23188405797102,118,137,1.1610169491525424,0.66,0.11,0.9753086419753086,0.35714285714285715,159.16775032509753,93.33333333333333,85.36585365853658,1.0,0.9722222222222222,1.0,0.3076923076923077,FR1,CDKL5_005_179_17,M
CDKL5_005_179_20_FR1_20251009.csv,64.60176991150442,72,112,1.5555555555555556,0.49,0.17,0.9,0.43478260869565216,97.51994557486549,50.0,65.42056074766354,1.0,0.8958333333333334,1.0,0.4090909090909091,FR1,CDKL5_005_179_20,F
CDKL5_005_180_66_FR1_20251009.csv,73.52941176470588,100,151,1.51,0.91,0.13,0.9259259259259259,0.34782608695652173,133.67784258815158,58.620689655172406,77.57009345794393,0.6666666666666666,0.9777777777777777,0.4,0.3076923076923077,FR1,CDKL5_005_180_66,F
CDKL5_005_180_67_FR1_20251009.csv,80.60606060606061,132,164,1.2424242424242424,0.91,0.14,0.953125,0.42857142857142855,177.78602924112323,61.53846153846154,84.17266187050359,1.0,0.95,0.0,0.5625,FR1,CDKL5_005_180_67,M
CDKL5_005_180_69_FR1_20251009.csv,87.71929824561403,149,171,1.1476510067114094,1.01,0.2,0.9625,0.5,200.0833680700292,100.0,83.84615384615385,1.0,0.9523809523809523,,0.5,FR1,CDKL5_005_180_69,M
CDKL5_005_182_57_FR1_20251009.csv,75.72254335260115,130,173,1.3307692307692307,0.49,0.13,0.8617021276595744,0.7037037037037037,174.7125017365667,88.23529411764706,74.35897435897436,1.0,0.8452380952380952,1.0,0.68,FR1,CDKL5_005_182_57,M
CDKL5_005_182_64_FR1_20251009.csv,65.359477124183,99,167,1.6868686868686869,0.73,0.10500000000000001,0.8055555555555556,0.4634146341463415,133.41156851239924,91.66666666666666,60.46511627906976,1.0,0.6956521739130435,1.0,0.45,FR1,CDKL5_005_182_64,F
CDKL5_005_182_65_FR1_20251009.csv,54.54545454545454,95,182,1.9157894736842105,0.94,0.18,0.8596491228070176,0.26785714285714285,132.3567427832831,43.75,56.94444444444444,0.875,0.8571428571428571,0.15384615384615385,0.3023255813953488,FR1,CDKL5_005_182_65,F
CDKL5_005_183_74_FR1_20251009.csv,80.9278350515464,156,197,1.2628205128205128,1.1,0.185,0.9910714285714286,0.23809523809523808,211.7019118220835,92.3076923076923,79.16666666666666,0.9375,1.0,0.5,0.21052631578947367,FR1,CDKL5_005_183_74,F
CDKL5_005_183_75_FR1_20251009.csv,69.27374301675978,123,179,1.4552845528455285,0.55,0.15,0.9651162790697675,0.20930232558139536,165.85547092699238,100.0,64.74358974358975,1.0,0.9565217391304348,,0.20930232558139536,FR1,CDKL5_005_183_75,F
CDKL5_005_184_3_FR1_20251009.csv,47.083333333333336,112,253,2.2589285714285716,1.1,0.15,0.7230769230769231,0.17204301075268819,149.3609927764401,68.18181818181817,44.95412844036697,0.8,0.7166666666666667,0.4,0.1590909090909091,FR1,CDKL5_005_184_3,F
CDKL5_005_186_53_FR1_20251009.csv,91.34615384615384,94,103,1.0957446808510638,0.64,0.16,0.96,0.5,133.69769202910481,100.0,88.0,1.0,0.9473684210526315,,0.5,FR1,CDKL5_005_186_53,M
CDKL5_005_275_28_FR1_20251009.csv,87.05035971223022,120,139,1.1583333333333334,0.55,0.19,0.9871794871794872,0.2857142857142857,162.90963489317937,84.61538461538461,87.3015873015873,0.875,1.0,0.0,0.3333333333333333,FR1,CDKL5_005_275_28,M
CDKL5_005_275_29_FR1_20251009.csv,64.70588235294117,98,152,1.5510204081632653,0.73,0.1,0.9594594594594594,0.18604651162790697,130.79180697581018,80.0,60.16949152542372,0.9444444444444444,0.9642857142857143,0.4,0.15789473684210525,FR1,CDKL5_005_275_29,M
CDKL5_005_281_35_FR1_20251009.csv,71.81208053691275,106,148,1.3962264150943395,0.5800000000000001,0.15,0.9358974358974359,0.4117647058823529,143.40805088032266,93.33333333333333,69.40298507462687,1.0,0.927536231884058,1.0,0.3939393939393939,FR1,CDKL5_005_281_35,M
CDKL5_005_281_36_FR1_20251009.csv,67.33333333333333,101,149,1.4752475247524752,0.44999999999999996,0.12,0.8840579710144928,0.3235294117647059,137.52974736410772,40.0,69.28571428571428,1.0,0.8787878787878788,0.0,0.34375,FR1,CDKL5_005_281_36,M
CNTNAP2_008_242_53_FR1_20251120.csv,88.96551724137932,128,144,1.125,0.55,0.19,0.9647058823529412,0.8,180.48970073843765,97.67441860465115,85.29411764705883,1.0,0.9482758620689655,1.0,0.7777777777777778,FR1,CNTNAP2_008_242_53,M
