filename,PeakAccuracy,TotalAccuracy,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Lose-shift,Lose-stay,PeakAccuracy_Day,PeakAccuracy_Night,TotalAccuracy_Day,TotalAccuracy_Night,Win-stay_Day,Win-stay_Night,Lose-shift_Day,Lose-shift_Night,Total_pellets,Total_pellets_Day,Total_pellets_Night,daily pellets,daily pellets_Day,daily pellets_Night,Session_type,Mouse_ID,Sex
CDKL5_005_178_78_Bandit100_20251006.csv,75.38461538461539,57.48945147679325,948,1.7426470588235294,1.65,0.13,74.81662591687042,46.82539682539682,53.17460317460318,72.5,73.5,55.23012552301255,58.25105782792666,77.31958762886599,73.95498392282958,54.285714285714285,43.956043956043956,545.0,132.0,413.0,189.05073150363745,45.78843405225714,143.2622974513803,Bandit100,CDKL5_005_178_78,F
CDKL5_005_179_14_Bandit100_20251006.csv,75.3846153846154,65.68265682656826,831,1.5561797752808988,1.04,0.1,83.83084577114428,47.540983606557376,52.459016393442624,80.0,74.0,61.53846153846154,66.87797147385103,71.05263157894737,86.80981595092024,66.66666666666666,41.30434782608695,534.0,113.0,421.0,184.15263031851202,38.9686277640297,145.18400255448233,Bandit100,CDKL5_005_179_14,F
CDKL5_005_179_17_Bandit100_20251006.csv,76.5,61.327561327561334,695,1.6391509433962264,0.72,0.13,78.26086956521739,40.74074074074074,59.25925925925925,70.0,77.33333333333333,63.6986301369863,60.69469835466179,72.72727272727273,79.8507462686567,50.0,38.095238095238095,425.0,93.0,332.0,143.32608636255412,31.363120074629485,111.96296628792462,Bandit100,CDKL5_005_179_17,M
CDKL5_005_179_20_Bandit100_20251006.csv,78.42105263157895,66.72354948805462,592,1.5179487179487179,0.55,0.17,85.57046979865773,57.49999999999999,42.5,78.0,79.33333333333333,66.14173228346458,66.88453159041394,85.96491228070175,85.47717842323651,83.33333333333334,52.94117647058824,391.0,84.0,307.0,133.89986365221802,28.766211117100546,105.13365253511746,Bandit100,CDKL5_005_179_20,F
CDKL5_005_180_66_Bandit100_20251006.csv,75.21739130434784,58.13106796116505,834,1.7447698744769875,1.47,0.11,70.8454810495627,57.647058823529406,42.35294117647059,70.0,75.55555555555557,57.20720720720721,58.4717607973422,75.29411764705883,69.64980544747081,53.333333333333336,58.57142857142858,478.0,126.0,352.0,160.9753815931025,42.43284117307722,118.54254042002526,Bandit100,CDKL5_005_180_66,F
CDKL5_005_180_67_Bandit100_20251006.csv,79.60000000000001,58.173618940248026,892,1.7286821705426356,0.98,0.13,82.33618233618233,41.25,58.75,76.66666666666666,82.10526315789473,52.20125786163522,61.511423550087876,77.41935483870968,84.10852713178295,38.23529411764706,43.47826086956522,516.0,166.0,350.0,170.85045067140842,54.963517076460846,115.88693359494758,Bandit100,CDKL5_005_180_67,M
CDKL5_005_180_69_Bandit100_20251006.csv,82.0,66.2387676508344,780,1.5116279069767442,1.2,0.19,81.00558659217877,55.769230769230774,44.230769230769226,76.36363636363637,80.0,66.2551440329218,66.23134328358209,85.29411764705883,79.296875,61.53846153846154,53.84615384615385,516.0,161.0,355.0,172.24720663915807,53.74379897074506,118.503407668413,Bandit100,CDKL5_005_180_69,M
CDKL5_005_182_57_Bandit100_20251006.csv,83.33333333333333,72.56410256410255,779,1.3787610619469026,0.79,0.16,88.12785388127854,59.09090909090909,40.909090909090914,74.0,85.23809523809523,72.89156626506023,72.47557003257329,86.58536585365853,88.48314606741573,60.0,58.97435897435898,566.0,121.0,445.0,189.43038097267146,40.49660087931669,148.93378009335476,Bandit100,CDKL5_005_182_57,M
CDKL5_005_182_64_Bandit100_20251006.csv,70.35714285714286,61.31078224101479,949,1.6362068965517242,1.16,0.11,73.67205542725173,56.12244897959183,43.87755102040816,59.00000000000001,72.72727272727273,57.66129032258065,62.607449856733524,63.91752577319587,76.64670658682635,46.15384615384615,59.72222222222222,580.0,143.0,437.0,195.77906095436038,48.26966502840265,147.50939592595776,Bandit100,CDKL5_005_182_64,F
CDKL5_005_182_65_Bandit100_20251006.csv,72.6923076923077,61.9324796274738,863,1.625235404896422,0.92,0.18,74.61928934010153,54.87804878048781,45.1219512195122,73.33333333333334,70.0,63.07692307692307,61.596385542168676,76.19047619047619,74.19354838709677,56.25,55.38461538461539,532.0,124.0,408.0,178.6525500804552,41.64081994356475,137.01173013689046,Bandit100,CDKL5_005_182_65,F
CDKL5_005_183_74_Bandit100_20251006.csv,78.5185185185185,65.09433962264151,848,1.536231884057971,1.28,0.19,84.05466970387245,49.2063492063492,50.79365079365079,71.66666666666666,81.9047619047619,63.8095238095238,65.51724137931035,85.85858585858585,83.52941176470588,54.54545454545454,47.05882352941176,552.0,134.0,418.0,185.3025511115946,44.982865668394346,140.31968544320029,Bandit100,CDKL5_005_183_74,F
CDKL5_005_183_75_Bandit100_20251006.csv,76.8,62.39419588875453,830,1.6116504854368932,1.04,0.16,78.18181818181819,48.05194805194805,51.94805194805194,77.14285714285714,75.78947368421053,62.845849802371546,62.19512195121951,80.73394495412845,77.17391304347827,52.63157894736842,46.55172413793103,516.0,159.0,357.0,174.64391482160488,53.8146946834015,120.82922013820337,Bandit100,CDKL5_005_183_75,F
CDKL5_005_184_3_Bandit100_20251006.csv,69.3103448275862,58.64734299516908,1045,1.7244224422442245,0.79,0.12,70.89201877934272,55.55555555555556,44.44444444444444,72.22222222222221,68.09523809523809,59.859154929577464,58.18908122503329,68.37606837606837,71.84466019417476,52.94117647058824,56.43564356435643,607.0,169.0,438.0,206.754790918445,57.564348707112366,149.19044221133262,Bandit100,CDKL5_005_184_3,F
CDKL5_005_186_53_Bandit100_20251006.csv,75.9090909090909,60.264900662251655,760,1.6740088105726871,0.98,0.16,84.70948012232415,36.84210526315789,63.1578947368421,73.00000000000001,72.5,61.111111111111114,59.84095427435388,93.13725490196079,80.80357142857143,22.22222222222222,43.58974358974359,455.0,154.0,301.0,151.98447370659326,51.4408987930008,100.54357491359247,Bandit100,CDKL5_005_186_53,M
CDKL5_005_275_28_Bandit100_20251006.csv,80.0,60.67415730337079,806,1.6584362139917694,1.1,0.16,83.0028328611898,42.3728813559322,57.6271186440678,78.33333333333334,80.0,57.64192139737992,61.88811188811189,83.33333333333334,82.84671532846716,35.714285714285715,44.44444444444444,486.0,132.0,354.0,163.81063842237697,44.49177833694189,119.31886008543509,Bandit100,CDKL5_005_275_28,M
CDKL5_005_275_29_Bandit100_20251006.csv,78.33333333333333,58.752997601918466,835,1.7040816326530612,0.76,0.11,76.12732095490716,46.3768115942029,53.62318840579711,75.0,80.58823529411765,56.132075471698116,59.64630225080386,79.74683544303798,75.16778523489933,50.0,45.614035087719294,490.0,119.0,371.0,165.13954713006845,40.10531858873091,125.03422854133753,Bandit100,CDKL5_005_275_29,M
CDKL5_005_281_35_Bandit100_20251006.csv,80.38461538461539,68.6624203821656,785,1.4591078066914498,1.34,0.15,87.11943793911007,48.07692307692308,51.92307692307693,70.0,81.42857142857143,73.84615384615385,67.63358778625954,86.8421052631579,87.14285714285714,50.0,47.82608695652174,539.0,95.0,444.0,187.2769607547443,33.00799864879537,154.2689621059489,Bandit100,CDKL5_005_281_35,M
CDKL5_005_281_36_Bandit100_20251006.csv,75.83333333333334,63.07692307692307,780,1.5885947046843176,0.61,0.14,88.46153846153845,43.18181818181818,56.81818181818182,75.0,76.8421052631579,62.2093023255814,63.32236842105263,91.25,87.74193548387098,50.0,42.10526315789473,492.0,107.0,385.0,165.82393533815227,36.063335530858325,129.76059980729394,Bandit100,CDKL5_005_281_36,M
CNTNAP2_008_242_53_Bandit100_20251117.csv,79.25925925925925,59.56521739130435,920,1.6819012797074955,0.79,0.2,72.41379310344827,44.354838709677416,55.64516129032258,84.28571428571428,72.85714285714285,69.48356807511738,56.57708628005658,82.45614035087719,68.75,38.46153846153847,45.04504504504504,548.0,148.0,400.0,190.31601964772375,51.39921698515167,138.91680266257208,Bandit100,CNTNAP2_008_242_53,M
CNTNAP2_008_243_81_Bandit100_20251117.csv,72.33333333333334,56.98324022346368,1074,1.7549019607843137,0.98,0.13,69.95614035087719,49.54128440366973,50.45871559633027,76.00000000000001,68.26086956521739,60.76923076923077,55.77395577395578,80.18867924528303,66.85714285714286,54.166666666666664,48.23529411764706,612.0,158.0,454.0,206.60326490423313,53.338751396844486,153.2645135073886,Bandit100,CNTNAP2_008_243_81,F
CNTNAP2_008_243_82_Bandit100_20251117.csv,71.0344827586207,61.77083333333333,963,1.623946037099494,0.98,0.14,74.67248908296943,48.31460674157304,51.68539325842697,71.1111111111111,67.82608695652173,71.42857142857143,58.83152173913043,83.45864661654136,71.07692307692308,66.66666666666666,46.25,593.0,161.0,432.0,203.281212183732,55.19102050856806,148.09019167516396,Bandit100,CNTNAP2_008_243_82,F
CNTNAP2_008_244_32_Bandit100_20251117.csv,80.3448275862069,61.98347107438017,970,1.6166666666666667,1.04,0.14,83.47457627118644,49.45054945054945,50.54945054945055,86.0,80.76923076923075,58.55263157894737,62.622549019607845,84.375,83.33333333333334,72.72727272727273,46.25,600.0,89.0,511.0,208.65029341447513,30.949793523147143,177.70049989132798,Bandit100,CNTNAP2_008_244_32,M
