filename,PeakAccuracy,TotalAccuracy,Total_pellets,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Win-shift,Lose-shift,Lose-stay,daily pellets,PeakAccuracy_Day,PeakAccuracy_Night,Win-stay_Day,Win-stay_Night,Lose-shift_Day,Lose-shift_Night,Session_type,Mouse_ID,Sex
CDKL5_005_178_78_Bandit80_20251013.csv,67.64705882352942,61.91198786039453,362,658.0,1.8176795580110496,0.85,0.1,0.8603896103896104,0.1396103896103896,0.5571428571428572,0.44285714285714284,185.01070663811564,68.0,65.00000000000001,0.8130841121495327,0.8855721393034826,0.6086956521739131,0.5319148936170213,Bandit80,CDKL5_005_178_78,F
CDKL5_005_179_14_Bandit80_20251013.csv,68.23529411764706,58.51063829787234,346,661.0,1.9104046242774566,0.67,0.08,0.8692307692307693,0.13076923076923078,0.5454545454545454,0.45454545454545453,173.98875554365665,71.11111111111111,63.000000000000014,0.8411214953271028,0.8888888888888888,0.5789473684210527,0.5277777777777778,Bandit80,CDKL5_005_179_14,F
CDKL5_005_179_17_Bandit80_20251013.csv,72.85714285714286,61.27167630057804,301,518.0,1.7209302325581395,0.66,0.12,0.9227941176470589,0.07720588235294118,0.5365853658536586,0.4634146341463415,152.25735675981628,60.0,74.0,0.883495145631068,0.9467455621301775,0.4444444444444444,0.5625,Bandit80,CDKL5_005_179_17,M
CDKL5_005_179_20_Bandit80_20251013.csv,68.46153846153847,65.59633027522935,271,437.0,1.6125461254612545,0.42,0.2,0.9330357142857143,0.06696428571428571,0.4857142857142857,0.5142857142857142,141.7298901178429,65.0,72.5,0.9166666666666666,0.9428571428571428,0.42857142857142855,0.5238095238095238,Bandit80,CDKL5_005_179_20,F
CDKL5_005_180_66_Bandit80_20251013.csv,60.71428571428572,57.43119266055046,300,551.0,1.8366666666666667,1.22,0.12,0.7511111111111111,0.24888888888888888,0.47435897435897434,0.5256410256410257,150.6994267375202,58.33333333333333,53.75,0.7604166666666666,0.7441860465116279,0.4722222222222222,0.4878048780487805,Bandit80,CDKL5_005_180_66,F
CDKL5_005_180_67_Bandit80_20251013.csv,59.375,48.15905743740795,334,679.0,2.032934131736527,0.61,0.12,0.8816326530612245,0.11836734693877551,0.55,0.45,168.2129242104527,56.25,59.999999999999986,0.8627450980392157,0.8951048951048951,0.5714285714285714,0.5384615384615384,Bandit80,CDKL5_005_180_67,M
CDKL5_005_180_69_Bandit80_20251013.csv,61.42857142857142,50.58430717863105,308,601.0,1.9512987012987013,0.69,0.2,0.8904109589041096,0.1095890410958904,0.43478260869565216,0.5652173913043478,155.0176225010597,60.0,55.00000000000001,0.8648648648648649,0.9166666666666666,0.4642857142857143,0.3888888888888889,Bandit80,CDKL5_005_180_69,M
CDKL5_005_182_57_Bandit80_20251013.csv,78.75,68.72852233676976,338,581.0,1.7189349112426036,0.49,0.12,0.9190140845070423,0.08098591549295775,0.6181818181818182,0.38181818181818183,170.64156043904825,66.66666666666666,78.33333333333333,0.8809523809523809,0.9346733668341709,0.6666666666666666,0.5882352941176471,Bandit80,CDKL5_005_182_57,M
CDKL5_005_182_64_Bandit80_20251013.csv,73.125,60.31999999999999,337,624.0,1.8516320474777448,0.61,0.11,0.8674242424242424,0.13257575757575757,0.609375,0.390625,173.99531694063955,63.74999999999999,72.0,0.816,0.9136690647482014,0.5675675675675675,0.6666666666666666,Bandit80,CDKL5_005_182_64,F
CDKL5_005_182_65_Bandit80_20251013.csv,61.764705882352935,56.76855895196506,361,696.0,1.92797783933518,0.91,0.17,0.8544061302681992,0.14559386973180077,0.29591836734693877,0.7040816326530612,182.483736398378,64.44444444444444,62.727272727272734,0.8850574712643678,0.838150289017341,0.25925925925925924,0.30985915492957744,Bandit80,CDKL5_005_182_65,F
CDKL5_005_183_74_Bandit80_20251013.csv,74.0,66.11111111111111,418,719.0,1.7200956937799043,0.85,0.2,0.9138461538461539,0.08615384615384615,0.5362318840579711,0.463768115942029,211.1779357977448,70.0,73.33333333333333,0.8925619834710744,0.9264705882352942,0.5714285714285714,0.5208333333333334,Bandit80,CDKL5_005_183_74,F
CDKL5_005_183_75_Bandit80_20251013.csv,71.76470588235294,59.4311377245509,362,669.0,1.8480662983425415,0.67,0.16,0.8546712802768166,0.1453287197231834,0.4915254237288136,0.5084745762711864,182.41099937767902,71.42857142857142,68.18181818181819,0.8712871287128713,0.8457446808510638,0.5263157894736842,0.475,Bandit80,CDKL5_005_183_75,F
CDKL5_005_184_3_Bandit80_20251013.csv,71.57894736842105,62.797619047619044,389,672.0,1.7275064267352185,0.61,0.1,0.883495145631068,0.11650485436893204,0.5909090909090909,0.4090909090909091,195.9309307558675,64.44444444444444,73.84615384615384,0.8715596330275229,0.898989898989899,0.53125,0.625,Bandit80,CDKL5_005_184_3,F
CDKL5_005_186_53_Bandit80_20251013.csv,63.125,50.075414781297134,331,662.0,2.0,0.49,0.16,0.7888888888888889,0.2111111111111111,0.3978494623655914,0.6021505376344086,166.96968104671328,67.5,53.75,0.7603305785123967,0.8120805369127517,0.4594594594594595,0.35714285714285715,Bandit80,CDKL5_005_186_53,M
CDKL5_005_275_28_Bandit80_20251013.csv,78.0,65.87771203155819,307,510.0,1.6612377850162867,0.61,0.14,0.9307359307359307,0.06926406926406926,0.5294117647058824,0.47058823529411764,154.60225683111068,77.14285714285715,72.22222222222221,0.9195402298850575,0.9375,0.5294117647058824,0.5294117647058824,Bandit80,CDKL5_005_275_28,M
CDKL5_005_275_29_Bandit80_20251013.csv,72.3076923076923,59.13757700205339,280,488.0,1.7428571428571429,0.61,0.14500000000000002,0.9004739336492891,0.0995260663507109,0.45454545454545453,0.5454545454545454,141.197894171618,74.28571428571428,71.25,0.89,0.9099099099099099,0.5,0.4,Bandit80,CDKL5_005_275_29,M
CDKL5_005_281_35_Bandit80_20251013.csv,78.66666666666666,65.26315789473685,324,569.0,1.7561728395061729,0.98,0.16,0.9411764705882353,0.058823529411764705,0.3333333333333333,0.6666666666666666,166.50064038707842,74.28571428571428,74.0,0.9298245614035088,0.9485714285714286,0.42857142857142855,0.3125,Bandit80,CDKL5_005_281_35,M
CDKL5_005_281_36_Bandit80_20251013.csv,73.75,65.84440227703985,327,528.0,1.614678899082569,0.67,0.14,0.9436619718309859,0.056338028169014086,0.3333333333333333,0.6666666666666666,164.7297533671506,76.25,75.0,0.9051724137931034,0.9702380952380952,0.4117647058823529,0.2631578947368421,Bandit80,CDKL5_005_281_36,M
