filename,PeakAccuracy,TotalAccuracy,Total_pellets,Total_pokes,PokesPerPellet,RetrievalTime,PokeTime,Win-stay,Lose-shift,Lose-stay,daily pellets,Session_type,Mouse_ID,Sex
CDKL5_005_178_78_Bandit100_20251006.csv,75.0,55.379746835443036,174,315,1.8103448275862069,1.34,0.1,81.75182481751825,36.58536585365854,63.41463414634146,175.43656088646517,Bandit100,CDKL5_005_178_78,F
CDKL5_005_179_14_Bandit100_20251006.csv,68.75,68.16326530612244,167,250,1.4970059880239521,0.73,0.09,90.5511811023622,60.0,40.0,173.77396666345507,Bandit100,CDKL5_005_179_14,F
CDKL5_005_179_17_Bandit100_20251006.csv,80.0,70.64220183486239,153,218,1.4248366013071896,0.66,0.12,89.68253968253968,47.05882352941176,52.94117647058824,164.52869384575436,Bandit100,CDKL5_005_179_17,M
CDKL5_005_179_20_Bandit100_20251006.csv,87.14285714285715,76.5625,146,192,1.3150684931506849,0.42,0.15,95.76271186440678,54.54545454545454,45.45454545454545,148.4518730641108,Bandit100,CDKL5_005_179_20,F
CDKL5_005_180_66_Bandit100_20251006.csv,77.14285714285714,62.903225806451616,155,248,1.6,1.22,0.11,75.22123893805309,84.21052631578947,15.789473684210526,155.49853117053516,Bandit100,CDKL5_005_180_66,F
CDKL5_005_180_67_Bandit100_20251006.csv,85.0,70.42801556420234,181,256,1.4143646408839778,0.67,0.13,88.88888888888889,62.5,37.5,185.30666413878092,Bandit100,CDKL5_005_180_67,M
CDKL5_005_180_69_Bandit100_20251006.csv,81.25,69.46564885496184,182,261,1.434065934065934,0.88,0.17,84.25196850393701,43.75,56.25,182.05689277899342,Bandit100,CDKL5_005_180_69,M
CDKL5_005_182_57_Bandit100_20251006.csv,84.44444444444443,71.84115523465704,198,276,1.393939393939394,0.55,0.19,90.9090909090909,50.0,50.0,201.71048463731393,Bandit100,CDKL5_005_182_57,M
CDKL5_005_182_64_Bandit100_20251006.csv,65.0,61.702127659574465,174,281,1.6149425287356323,1.04,0.12,75.60975609756098,58.620689655172406,41.37931034482759,174.09268823679275,Bandit100,CDKL5_005_182_64,F
CDKL5_005_182_65_Bandit100_20251006.csv,71.1111111111111,66.78832116788321,182,273,1.5,0.79,0.16,87.59689922480621,47.82608695652174,52.17391304347826,193.56781704883514,Bandit100,CDKL5_005_182_65,F
CDKL5_005_183_74_Bandit100_20251006.csv,80.0,70.03610108303249,194,277,1.4278350515463918,0.98,0.22,91.30434782608695,38.46153846153847,61.53846153846154,199.78783508349522,Bandit100,CDKL5_005_183_74,F
CDKL5_005_183_75_Bandit100_20251006.csv,78.75,68.50393700787401,173,255,1.4739884393063585,0.73,0.16,86.5079365079365,52.94117647058824,47.05882352941176,175.26172211989086,Bandit100,CDKL5_005_183_75,F
CDKL5_005_184_3_Bandit100_20251006.csv,67.77777777777779,61.46788990825688,200,328,1.64,0.61,0.11,75.0,55.26315789473685,44.73684210526316,208.9794346638428,Bandit100,CDKL5_005_184_3,F
CDKL5_005_186_53_Bandit100_20251006.csv,67.14285714285714,61.97718631178707,162,264,1.6296296296296295,0.67,0.17,92.24137931034483,27.77777777777778,72.22222222222221,174.32507705447657,Bandit100,CDKL5_005_186_53,M
CDKL5_005_275_28_Bandit100_20251006.csv,82.22222222222221,64.08450704225352,182,284,1.5604395604395604,0.73,0.2,91.30434782608695,36.36363636363637,63.63636363636363,190.44896871631522,Bandit100,CDKL5_005_275_28,M
CDKL5_005_275_29_Bandit100_20251006.csv,82.5,68.0,170,249,1.464705882352941,0.61,0.09,86.56716417910447,64.28571428571429,35.714285714285715,176.71900378992964,Bandit100,CDKL5_005_275_29,M
CDKL5_005_281_35_Bandit100_20251006.csv,72.5,71.42857142857143,179,251,1.4022346368715084,1.16,0.15,93.75,45.45454545454545,54.54545454545454,181.6376823442847,Bandit100,CDKL5_005_281_35,M
CDKL5_005_281_36_Bandit100_20251006.csv,68.88888888888889,67.8030303030303,178,264,1.4831460674157304,0.42,0.14,91.24087591240875,75.0,25.0,182.2849262755914,Bandit100,CDKL5_005_281_36,M
