,session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,lapse,best_loss,Session_type,Mouse_ID,Gene,Sex,Genotype
0,739,438,0.5926928281461434,0.6427604871447903,-0.128552097,0.29618215560913086,14.924758911132812,-0.48031792,0.5471304655075073,0.6006748886005159,Bandit100,SHANK3B_004_126_31,SHANK3B,m,Wt
1,948,496,0.5232067510548524,0.5748945147679325,-0.099156118,0.9180753231048584,17.077911376953125,0.6148555278778076,0.8090863227844238,0.6750568116264504,Bandit100,CDKL5_005_178_78,CDKL5,f,Wt
2,887,500,0.5636978579481398,0.629086809,0.00789177,0.59348011,9.626470565795898,-0.219531,0.6750730872154236,0.6443808296487458,Bandit100,CDKL5_005_178_83,CDKL5,f,Wt
3,813,464,0.5707257072570726,0.6568265682656826,-0.111931119,0.6237673759460449,19.792776107788086,-0.382085025,0.577109694,0.6073388807008188,Bandit100,CDKL5_005_179_14,CDKL5,f,Wt
4,693,401,0.5786435786435786,0.6132756132756133,0.085137085,0.9246299266815186,19.52581214904785,0.0401273,0.6906613111495972,0.6496542838400748,Bandit100,CDKL5_005_179_17,CDKL5,m,Wt
5,586,363,0.6194539249146758,0.6672354948805461,-0.058020478,0.5559317469596863,1.3172825574874878,-0.201246694,0.12104413658380508,0.5983729443859321,Bandit100,CDKL5_005_179_20,CDKL5,f,Wt
6,824,423,0.5133495145631068,0.5813106796116505,-0.118932039,0.4900353252887726,1.0852066278457642,-0.561656296,0.4119116961956024,0.6614243590716019,Bandit100,CDKL5_005_180_66,CDKL5,f,Wt
7,887,448,0.5050732807215332,0.5817361894024803,0.010146561,0.377294123,8.657707214355469,-0.258747995,0.6340697407722473,0.6355874320700042,Bandit100,CDKL5_005_180_67,CDKL5,m,Wt
8,779,449,0.576379974,0.6623876765083441,-0.026957638,0.6843991279602051,6.866779327392578,-0.205480471,0.5760212540626526,0.6135545762420772,Bandit100,CDKL5_005_180_69,CDKL5,m,Wt
9,780,518,0.6641025641025641,0.7256410256410256,0.033333333,0.8050295114517212,16.009279251098633,0.10935805,0.49619853496551514,0.568722143,Bandit100,CDKL5_005_182_57,CDKL5,m,Wt
10,946,546,0.5771670190274841,0.6131078224101479,0.050739958,0.6886553168296814,6.231651306152344,0.22935843467712402,0.7142887711524963,0.6562005137792349,Bandit100,CDKL5_005_182_64,CDKL5,f,Wt
11,859,492,0.5727590221187427,0.619324796,-0.019790454,0.8387206792831421,12.97776985168457,-0.002786215,0.6786826848983765,0.64662904,Bandit100,CDKL5_005_182_65,CDKL5,f,Wt
12,848,511,0.6025943396226415,0.6509433962264151,-0.037735849,0.8050146698951721,11.157135963439941,0.028824880719184875,0.5881576538085938,0.6179064624714401,Bandit100,CDKL5_005_183_74,CDKL5,f,Wt
13,827,459,0.5550181378476421,0.6239419588875453,0.00362757,0.49922823905944824,11.192315101623535,0.3939470946788788,0.6929405331611633,0.6495305975806757,Bandit100,CDKL5_005_183_75,CDKL5,f,Wt
14,1035,524,0.506280193,0.5864734299516908,-0.035748792,0.5527123212814331,4.992703437805176,-0.187389612,0.7858175039291382,0.6747056159420289,Bandit100,CDKL5_005_184_3,CDKL5,f,Wt
15,755,396,0.5245033112582781,0.6026490066225165,-0.120529801,0.5824100375175476,2.457163095474243,-0.526843429,0.46938833594322205,0.6275542606581126,Bandit100,CDKL5_005_186_53,CDKL5,m,Wt
16,450,251,0.5577777777777778,0.62,0.040000000000000036,0.28435125946998596,1.0470818281173706,0.12286286801099777,0,0.6308248562282986,Bandit100,CDKL5_005_186_55,CDKL5,m,Wt
17,801,423,0.5280898876404494,0.6067415730337079,-0.056179775,0.6978346705436707,16.28388786315918,-0.207351893,0.6712483763694763,0.6405460581499688,Bandit100,CDKL5_005_275_28,CDKL5,m,Wt
18,834,470,0.5635491606714629,0.5875299760191847,-0.064748201,0.20447134971618652,2.4227988719940186,-0.331689239,0.5240918397903442,0.6509474793212305,Bandit100,CDKL5_005_275_29,CDKL5,m,Wt
19,785,510,0.6496815286624203,0.686624204,0.042038216560509545,0.43211692571640015,7.3507466316223145,0.11192882061004639,0.4940180480480194,0.576078767,Bandit100,CDKL5_005_281_35,CDKL5,m,Wt
20,780,461,0.591025641,0.6307692307692307,0.1974358974358974,0.5129828453063965,1.101693034172058,0.714122474,0.13410481810569763,0.6196663098457532,Bandit100,CDKL5_005_281_36,CDKL5,m,Wt
21,702,494,0.7037037037037037,0.7393162393162394,-0.031339031,0.8200544714927673,16.136783599853516,-0.068093255,0.43188557028770447,0.5340951338113203,Bandit100,DNMT3a_002_19_45,DNMT3a,m,Wt
22,849,438,0.5159010600706714,0.607773852,-0.048292108,0.9235668182373047,1.6615482568740845,-0.211933196,0.5048353672027588,0.6514831471078106,Bandit100,DNMT3a_002_19_47,DNMT3a,f,Wt
23,547,346,0.6325411334552102,0.6581352833638026,-0.115173675,1,0.9235756397247314,-0.367218286,0,0.6053165526451096,Bandit100,DNMT3a_002_19_49,DNMT3a,f,Wt
24,704,425,0.6036931818181818,0.6775568181818182,-0.0625,0.4746829867362976,1.6555416584014893,-0.139303297,0,0.5482376272028143,Bandit100,DNMT3a_002_19_53,DNMT3a,f,Wt
25,924,559,0.604978355,0.672077922,-0.006493506,1,3.254704713821411,-0.119570181,0.4616023302078247,0.5934612720043628,Bandit100,DNMT3a_002_22_9,DNMT3a,f,Wt
26,694,417,0.600864553,0.654178674,-0.054755043,0.7643341422080994,10.342598915100098,0.090715341,0.6285602450370789,0.6284042490318804,Bandit100,DNMT3a_002_22_11,DNMT3a,f,Wt
